PolicyID,CustomerID,IssueDate,Premium,Status,StatusDate,CohortFlag,AgeBand,Product,Channel
1,861,2021-05-27,4072.12,Active,2021-07-04,A,61+,Annuity,Branch
2,1295,2022-02-12,1353.05,Active,2025-04-02,B,31-45,Whole Life,Referral
3,1131,2023-04-27,4554.54,Active,2024-09-01,B,46-60,Endowment,Branch
4,1096,2023-07-05,3330.62,Active,2023-08-25,A,61+,Endowment,Online
5,1639,2024-03-18,1101.0,Surrendered,2024-12-04,A,18-30,Annuity,Online
6,2170,2022-10-14,5879.14,Lapsed,2023-08-06,A,31-45,Term Life,Agent
7,467,2019-05-25,2173.78,Lapsed,2019-07-31,B,61+,Term Life,Referral
8,1239,2022-04-17,2423.73,Active,2022-11-06,A,18-30,Annuity,Online
9,331,2024-02-05,4751.99,Active,2025-02-17,A,46-60,Term Life,Branch
10,1483,2024-01-29,699.78,Active,2024-05-29,B,18-30,Whole Life,Agent
11,2136,2024-02-10,1437.57,Active,2024-07-06,B,18-30,Whole Life,Online
12,2920,2022-01-03,2035.59,Active,2022-02-19,B,18-30,Annuity,Referral
13,131,2022-02-25,3947.5,Active,2022-09-07,A,46-60,Term Life,Online
14,1686,2023-10-01,1138.82,Active,2024-08-16,A,61+,Whole Life,Agent
15,770,2020-07-21,1651.37,Active,2020-09-04,A,61+,Term Life,Branch
16,2392,2023-12-19,7823.04,Active,2024-12-01,A,31-45,Endowment,Referral
17,1516,2020-06-14,2801.82,Active,2020-12-16,B,61+,Endowment,Branch
18,2854,2023-04-11,2034.3,Active,2024-05-28,B,46-60,Annuity,Online
19,2434,2020-11-11,2992.74,Active,2021-03-29,B,18-30,Endowment,Referral
20,1216,2024-09-01,961.83,Active,2025-07-04,A,46-60,Endowment,Agent
21,956,2021-12-06,5847.58,Active,2022-11-17,B,18-30,Term Life,Online
22,2325,2020-12-29,4518.46,Lapsed,2022-03-02,A,61+,Endowment,Agent
23,1185,2023-09-26,2479.5,Lapsed,2025-02-23,B,31-45,Annuity,Online
24,460,2024-12-31,3469.94,Active,2025-02-22,B,31-45,Endowment,Branch
25,22,2020-10-29,1455.95,Active,2024-03-08,A,61+,Whole Life,Agent
26,2301,2023-06-01,6791.35,Active,2025-04-08,B,18-30,Annuity,Branch
27,748,2020-11-11,1900.73,Active,2021-09-08,B,61+,Annuity,Branch
28,2905,2021-08-30,6501.25,Active,2023-11-14,A,46-60,Annuity,Agent
29,475,2024-11-02,1853.57,Active,2025-04-26,B,61+,Endowment,Referral
30,1083,2021-04-06,3116.47,Active,2021-04-18,A,61+,Endowment,Agent
31,2559,2019-10-24,3093.07,Active,2021-02-08,B,18-30,Annuity,Online
32,2048,2022-06-07,2329.0,Surrendered,2025-04-19,B,61+,Term Life,Agent
33,2748,2024-11-22,2418.33,Active,2025-01-25,A,46-60,Annuity,Online
34,976,2023-09-25,4526.55,Active,2024-10-05,A,61+,Whole Life,Agent
35,1807,2024-07-17,558.74,Surrendered,2026-03-21,A,46-60,Whole Life,Branch
36,190,2019-11-26,5203.84,Lapsed,2022-04-03,B,61+,Whole Life,Agent
37,2735,2022-03-01,1791.58,Active,2022-06-27,B,18-30,Whole Life,Referral
38,563,2024-03-05,1679.14,Surrendered,2024-04-24,A,31-45,Annuity,Agent
39,1900,2020-01-17,2003.23,Active,2020-04-29,A,31-45,Annuity,Online
40,1268,2024-12-25,4077.21,Active,2025-11-04,A,46-60,Annuity,Online
41,2880,2021-04-22,2215.64,Active,2023-10-25,A,61+,Annuity,Referral
42,1529,2020-01-31,466.56,Active,2020-12-14,B,18-30,Annuity,Referral
43,647,2020-03-25,624.94,Active,2022-10-01,B,61+,Term Life,Branch
44,2069,2022-09-16,1793.05,Active,2024-03-05,A,18-30,Term Life,Referral
45,2889,2024-06-09,4051.89,Active,2025-05-07,A,18-30,Term Life,Agent
46,2215,2022-08-01,4412.03,Active,2022-08-09,B,61+,Annuity,Online
47,1298,2022-07-21,3396.62,Active,2022-12-15,B,61+,Endowment,Referral
48,2436,2024-08-29,6802.96,Surrendered,2024-09-19,B,31-45,Annuity,Referral
49,601,2022-07-17,1930.0,Active,2022-12-05,B,61+,Whole Life,Agent
50,2364,2024-01-24,4629.64,Active,2024-02-16,B,31-45,Annuity,Branch
51,2062,2019-07-05,2282.13,Active,2019-09-10,B,46-60,Whole Life,Online
